Thu Sep 29 18:40:41 2022: Hive (Z:\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_3\Lab_2\SOFTWARE\SOFTWARE) is dirty.

Thu Sep 29 18:40:41 2022: Log opened.
Thu Sep 29 18:40:41 2022: File: Z:\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_3\Lab_2\SOFTWARE\SOFTWARE
Thu Sep 29 18:40:41 2022: Environment set up.
Thu Sep 29 18:40:42 2022: Launching allowedenum v.20200511
Thu Sep 29 18:40:42 2022: Launching appcompatflags v.20200525
Thu Sep 29 18:40:42 2022: Launching appkeys v.20200517
Thu Sep 29 18:40:42 2022: Launching apppaths v.20200511
Thu Sep 29 18:40:42 2022: Launching at v.20200525
Thu Sep 29 18:40:42 2022: Launching btconfig v.20200526
Thu Sep 29 18:40:42 2022: Launching calibrator v.20200427
Thu Sep 29 18:40:42 2022: Launching clsid v.20200526
Thu Sep 29 18:41:07 2022: Launching cmd_shell v.20200515
Thu Sep 29 18:41:08 2022: Launching dcom v.20200525
Thu Sep 29 18:41:08 2022: Launching defender v.20200427
Thu Sep 29 18:41:08 2022: Launching disablemru v.20190924
Thu Sep 29 18:41:08 2022: Launching disablesr v.20200515
Thu Sep 29 18:41:08 2022: Launching drivers32 v.20200525
Thu Sep 29 18:41:08 2022: Launching emdmgmt v.20200511
Thu Sep 29 18:41:08 2022: Launching gpohist v.
Thu Sep 29 18:41:08 2022: Launching heap v.20200427
Thu Sep 29 18:41:08 2022: Launching ica_sessions v.20200528
Thu Sep 29 18:41:08 2022: Launching imagefile v.20200515
Thu Sep 29 18:41:09 2022: Launching injectdll64 v.20200427
Thu Sep 29 18:41:09 2022: Launching inprocserver v.20200427
Thu Sep 29 18:41:11 2022: Launching installer v.20200517
Thu Sep 29 18:41:11 2022: Launching landesk v.20200517
Thu Sep 29 18:41:11 2022: Launching lastloggedon v.20200517
Thu Sep 29 18:41:11 2022: Launching licenses v.20200526
Thu Sep 29 18:41:11 2022: Launching macaddr v.20200515
Thu Sep 29 18:41:11 2022: Launching msis v.20200517
Thu Sep 29 18:41:12 2022: Launching networkcards v.20200518
Thu Sep 29 18:41:12 2022: Launching networklist v.20200518
Thu Sep 29 18:41:12 2022: Launching outlook_homepage v.20201002
Thu Sep 29 18:41:12 2022: Launching portdev v.20090118
Thu Sep 29 18:41:12 2022: Launching powershellcore v.20200525
Thu Sep 29 18:41:12 2022: Launching printdemon v.20200514
Thu Sep 29 18:41:12 2022: Launching profilelist v.20200518
Thu Sep 29 18:41:12 2022: Launching pslogging v.20200515
Thu Sep 29 18:41:12 2022: Launching psscript v.20200525
Thu Sep 29 18:41:12 2022: Launching run v.20200511
Thu Sep 29 18:41:12 2022: Launching runvirtual v.20200427
Thu Sep 29 18:41:12 2022: Launching ryuk_gpo v.20200427
Thu Sep 29 18:41:12 2022: Launching schedagent v.20200518
Thu Sep 29 18:41:12 2022: Launching scriptleturl v.20200525
Thu Sep 29 18:41:14 2022: Launching secctr v.20200517
Thu Sep 29 18:41:14 2022: Launching sfc v.20200517
Thu Sep 29 18:41:14 2022: Launching shelloverlay v.20100308
Thu Sep 29 18:41:14 2022: Launching spp_clients v.20130429
Thu Sep 29 18:41:14 2022: Launching ssid v.20200515
Thu Sep 29 18:41:14 2022: Launching susclient v.20200518
Thu Sep 29 18:41:14 2022: Launching systemindex v.20200518
Thu Sep 29 18:41:14 2022: Launching taskcache v.20200427
Thu Sep 29 18:41:14 2022: Launching tasks v.20200427
Thu Sep 29 18:41:15 2022: Launching termserv v.20200506
Thu Sep 29 18:41:15 2022: Launching uac v.20200427
Thu Sep 29 18:41:15 2022: Launching uacbypass v.20200511
Thu Sep 29 18:41:16 2022: Launching uninstall v.20200525
Thu Sep 29 18:41:16 2022: Launching wab v.20200427
Thu Sep 29 18:41:16 2022: Launching wbem v.20200511
Thu Sep 29 18:41:16 2022: Launching winver v.20200525
