BagPath,NodeId,Slot,NodeSlot,MRUPosition,AbsolutePath,ShellType,Value,ChildBags,CreatedOn,ModifiedOn,AccessedOn,LastWriteTime,MFTEntry,MFTSequenceNumber,ExtensionBlockCount,FirstInteracted,LastInteracted,Miscellaneous,HasExplored
BagMRU,11,0,5,2,Desktop\My Computer,Root folder: GUID,My Computer,4,,,,2019-01-21 19:57:23,,,0,,,,True
BagMRU,34,1,2,7,Desktop\Home Folder,Root folder: GUID,Home Folder,0,,,,2019-01-21 19:57:23,,,0,2019-01-20 19:18:27,,,True
BagMRU,20,2,3,3,Desktop\C:\,Users property view: Drive letter,C:\,1,,,,2019-01-21 19:57:23,,,0,,,,True
BagMRU,33,3,4,6,Desktop\D:\,Users property view: Drive letter,D:\,0,,,,2019-01-21 19:57:23,,,0,2019-01-20 19:18:31,,,True
BagMRU,1,4,8,0,Desktop\E:\,Users property view: Drive letter,E:\,5,,,,2019-01-21 19:57:23,,,0,,2019-01-21 19:57:23,,True
BagMRU,8,5,0,1,Desktop\Shared Documents Folder (Users Files),Root folder: GUID,Shared Documents Folder (Users Files),1,,,,2019-01-21 19:57:23,,,1,,,,False
BagMRU,32,6,23,5,Desktop\Search Folder,Users property view,Search Folder,0,,,,2019-01-21 19:57:23,,,1,2019-01-21 19:13:45,,,False
BagMRU,31,7,24,4,Desktop\Search Folder,Users property view,Search Folder,0,,,,2019-01-21 19:57:23,,,2,2019-01-21 19:13:47,,,True
BagMRU\0,16,0,1,1,Desktop\My Computer\Downloads,Root folder: GUID,Downloads,1,,,,2019-01-21 16:57:35,,,1,,,,True
BagMRU\0,12,1,6,0,Desktop\My Computer\Documents,Root folder: GUID,Documents,1,,,,2019-01-21 16:57:35,,,1,,2019-01-21 16:57:35,,True
BagMRU\0,19,2,7,3,Desktop\My Computer\Desktop,Root folder: GUID,Desktop,0,,,,2019-01-21 16:57:35,,,1,2019-01-20 19:18:37,,,True
BagMRU\0,18,3,15,2,Desktop\My Computer\Pictures,Root folder: GUID,Pictures,0,,,,2019-01-21 16:57:35,,,0,2019-01-21 05:22:18,,,False
