SourceFile,SourceCreated,SourceModified,SourceAccessed,AppId,AppIdDescription,EntryName,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,CommonPath,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,TrackerCreatedOn,ExtraBlocksPresent,Arguments
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\CustomDestinations\969252ce11249fdd.customDestinations-ms,2018-03-31 15:17:25,2018-04-01 04:15:03,2018-04-01 04:15:03,969252ce11249fdd,Mozilla Firefox 40.0 / 44.0.2,,2018-01-30 16:27:08,2018-03-23 17:31:25,2018-01-30 16:27:08,463312,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasName, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),60D53EE6,,C:\Program Files (x86)\Mozilla Firefox\firefox.exe,,My Computer\C:\Program Files (x86)\\,0x17C7C,0x4,ethomas_desktop,34:68:95:94:f8:5c,2018-03-30 15:14:08,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",-new-tab about:blank
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\CustomDestinations\969252ce11249fdd.customDestinations-ms,2018-03-31 15:17:25,2018-04-01 04:15:03,2018-04-01 04:15:03,969252ce11249fdd,Mozilla Firefox 40.0 / 44.0.2,,2018-01-30 16:27:08,2018-03-23 17:31:25,2018-01-30 16:27:08,463312,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasName, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),60D53EE6,,C:\Program Files (x86)\Mozilla Firefox\firefox.exe,,My Computer\C:\Program Files (x86)\\,0x17C7C,0x4,ethomas_desktop,34:68:95:94:f8:5c,2018-03-30 15:14:08,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",-browser
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\CustomDestinations\969252ce11249fdd.customDestinations-ms,2018-03-31 15:17:25,2018-04-01 04:15:03,2018-04-01 04:15:03,969252ce11249fdd,Mozilla Firefox 40.0 / 44.0.2,,2018-01-30 16:27:08,2018-03-23 17:31:25,2018-01-30 16:27:08,463312,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasName, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),60D53EE6,,C:\Program Files (x86)\Mozilla Firefox\firefox.exe,,My Computer\C:\Program Files (x86)\\,0x17C7C,0x4,ethomas_desktop,34:68:95:94:f8:5c,2018-03-30 15:14:08,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",-private-window
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\CustomDestinations\969252ce11249fdd.customDestinations-ms,2018-03-31 15:17:25,2018-04-01 04:15:03,2018-04-01 04:15:03,969252ce11249fdd,Mozilla Firefox 40.0 / 44.0.2,,2018-01-30 16:27:08,2018-03-23 17:31:25,2018-01-30 16:27:08,463312,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasName, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),60D53EE6,,C:\Program Files (x86)\Mozilla Firefox\firefox.exe,,My Computer\C:\Program Files (x86)\\,0x17C7C,0x4,ethomas_desktop,34:68:95:94:f8:5c,2018-03-30 15:14:08,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",https://www.google.com/
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\CustomDestinations\969252ce11249fdd.customDestinations-ms,2018-03-31 15:17:25,2018-04-01 04:15:03,2018-04-01 04:15:03,969252ce11249fdd,Mozilla Firefox 40.0 / 44.0.2,,2018-01-30 16:27:08,2018-03-23 17:31:25,2018-01-30 16:27:08,463312,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasName, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),60D53EE6,,C:\Program Files (x86)\Mozilla Firefox\firefox.exe,,My Computer\C:\Program Files (x86)\\,0x17C7C,0x4,ethomas_desktop,34:68:95:94:f8:5c,2018-03-30 15:14:08,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",http://www.google.com/
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\CustomDestinations\969252ce11249fdd.customDestinations-ms,2018-03-31 15:17:25,2018-04-01 04:15:03,2018-04-01 04:15:03,969252ce11249fdd,Mozilla Firefox 40.0 / 44.0.2,,2018-01-30 16:27:08,2018-03-23 17:31:25,2018-01-30 16:27:08,463312,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasName, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),60D53EE6,,C:\Program Files (x86)\Mozilla Firefox\firefox.exe,,My Computer\C:\Program Files (x86)\\,0x17C7C,0x4,ethomas_desktop,34:68:95:94:f8:5c,2018-03-30 15:14:08,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",https://www.bestbuy.com/site/promo/open-box-cameras-20160210?cp=2&searchType=promo&st=open-box-cameras-20160210&qp=condition_facet%3DCondition~Open-Box&sp=-bestsellingsort%20skuidsaas
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\CustomDestinations\969252ce11249fdd.customDestinations-ms,2018-03-31 15:17:25,2018-04-01 04:15:03,2018-04-01 04:15:03,969252ce11249fdd,Mozilla Firefox 40.0 / 44.0.2,,2018-01-30 16:27:08,2018-03-23 17:31:25,2018-01-30 16:27:08,463312,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasName, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),60D53EE6,,C:\Program Files (x86)\Mozilla Firefox\firefox.exe,,My Computer\C:\Program Files (x86)\\,0x17C7C,0x4,ethomas_desktop,34:68:95:94:f8:5c,2018-03-30 15:14:08,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",https://www.bestbuy.com/site/promo/open-box-cameras-20160210?cp=1&searchType=promo&st=open-box-cameras-20160210&qp=condition_facet%3DCondition~Open-Box
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\CustomDestinations\969252ce11249fdd.customDestinations-ms,2018-03-31 15:17:25,2018-04-01 04:15:03,2018-04-01 04:15:03,969252ce11249fdd,Mozilla Firefox 40.0 / 44.0.2,,2018-01-30 16:27:08,2018-03-23 17:31:25,2018-01-30 16:27:08,463312,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasName, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),60D53EE6,,C:\Program Files (x86)\Mozilla Firefox\firefox.exe,,My Computer\C:\Program Files (x86)\\,0x17C7C,0x4,ethomas_desktop,34:68:95:94:f8:5c,2018-03-30 15:14:08,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",https://www.bestbuy.com/
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\CustomDestinations\969252ce11249fdd.customDestinations-ms,2018-03-31 15:17:25,2018-04-01 04:15:03,2018-04-01 04:15:03,969252ce11249fdd,Mozilla Firefox 40.0 / 44.0.2,,2018-01-30 16:27:08,2018-03-23 17:31:25,2018-01-30 16:27:08,463312,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasName, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),60D53EE6,,C:\Program Files (x86)\Mozilla Firefox\firefox.exe,,My Computer\C:\Program Files (x86)\\,0x17C7C,0x4,ethomas_desktop,34:68:95:94:f8:5c,2018-03-30 15:14:08,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",https://www.indeed.com/jobs?q=Senior+Programming+Consultant&l=Boston%2C+MA
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\CustomDestinations\969252ce11249fdd.customDestinations-ms,2018-03-31 15:17:25,2018-04-01 04:15:03,2018-04-01 04:15:03,969252ce11249fdd,Mozilla Firefox 40.0 / 44.0.2,,2018-01-30 16:27:08,2018-03-23 17:31:25,2018-01-30 16:27:08,463312,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasName, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),60D53EE6,,C:\Program Files (x86)\Mozilla Firefox\firefox.exe,,My Computer\C:\Program Files (x86)\\,0x17C7C,0x4,ethomas_desktop,34:68:95:94:f8:5c,2018-03-30 15:14:08,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",https://www.indeed.com/
