SourceFile,SourceCreated,SourceModified,SourceAccessed,AppId,AppIdDescription,DestListVersion,LastUsedEntryNumber,MRU,EntryNumber,CreationTime,LastModified,Hostname,MacAddress,Path,InteractionCount,PinStatus,FileBirthDroid,FileDroid,VolumeBirthDroid,VolumeDroid,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,CommonPath,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,TrackerCreatedOn,ExtraBlocksPresent,Arguments,Notes
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethomas\AutomaticDestinations\83dd64e7fa560bd5.automaticDestinations-ms,2018-03-31 14:22:12,2018-03-31 14:22:39,2022-11-03 23:12:36,83dd64e7fa560bd5,LibreOffice 5.1.0.3 Calc,4,1,0,1,,2018-03-31 14:22:12,,,F:\Sensitive Potential Client List.xlsx,1,False,,,,,2018-03-30 18:18:45,2018-03-31 14:22:40,2018-03-31 04:00:00,7412,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink","Removable storage media (Floppy, USB)",0CBB6FC8,IronKey USB,F:\Sensitive Potential Client List.xlsx,,F:\\,0x200380,,,,,PropertyStoreDataBlock,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethomas\AutomaticDestinations\d38a3ea7ec79fbed.automaticDestinations-ms,2018-03-31 14:21:36,2018-03-31 14:45:48,2022-11-03 23:12:36,d38a3ea7ec79fbed,LibreOffice 5.1.0.3 Writer,4,6,0,4,2018-03-31 12:47:08,2018-03-31 14:45:48,ethomas_desktop,34:68:95:94:f8:5c,C:\Users\ethomas\Documents\EthanThomas_Notes.docx,2,False,9f9d406e-34e1-11e8-a404-34689594f85c,9f9d406e-34e1-11e8-a404-34689594f85c,7778aea2-74bb-4079-81d7-bc2bfe4b5698,7778aea2-74bb-4079-81d7-bc2bfe4b5698,2018-03-31 14:43:58,2018-03-31 14:44:00,2018-03-31 14:44:00,9015,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),60D53EE6,,C:\Users\ethomas\Documents\EthanThomas_Notes.docx,,My Computer\C:\\\\,0x22714,0x3,ethomas_desktop,34:68:95:94:f8:5c,2018-03-31 12:47:08,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethomas\AutomaticDestinations\d38a3ea7ec79fbed.automaticDestinations-ms,2018-03-31 14:21:36,2018-03-31 14:45:48,2022-11-03 23:12:36,d38a3ea7ec79fbed,LibreOffice 5.1.0.3 Writer,4,6,1,2,2018-03-31 12:47:08,2018-03-31 14:45:42,ethomas_desktop,34:68:95:94:f8:5c,C:\Users\ethomas\Documents\Company Sensitive Document.docx,3,False,9f9d4041-34e1-11e8-a404-34689594f85c,9f9d4041-34e1-11e8-a404-34689594f85c,7778aea2-74bb-4079-81d7-bc2bfe4b5698,7778aea2-74bb-4079-81d7-bc2bfe4b5698,2018-03-31 14:42:31,2018-03-30 18:00:42,2018-03-31 14:42:31,15967,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),60D53EE6,,C:\Users\ethomas\Documents\Company Sensitive Document.docx,,My Computer\C:\\\\,0x226A5,0xA,ethomas_desktop,34:68:95:94:f8:5c,2018-03-31 12:47:08,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethomas\AutomaticDestinations\d38a3ea7ec79fbed.automaticDestinations-ms,2018-03-31 14:21:36,2018-03-31 14:45:48,2022-11-03 23:12:36,d38a3ea7ec79fbed,LibreOffice 5.1.0.3 Writer,4,6,2,6,2018-03-31 12:47:08,2018-03-31 14:45:22,ethomas_desktop,34:68:95:94:f8:5c,C:\Users\ethomas\Dropbox\EthanThomas_Notes.docx,1,False,9f9d408c-34e1-11e8-a404-34689594f85c,9f9d408c-34e1-11e8-a404-34689594f85c,7778aea2-74bb-4079-81d7-bc2bfe4b5698,7778aea2-74bb-4079-81d7-bc2bfe4b5698,2018-03-31 14:45:12,2018-03-31 14:44:00,2018-03-31 14:45:12,9015,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),60D53EE6,,C:\Users\ethomas\Dropbox\EthanThomas_Notes.docx,,My Computer\C:\\\\,0x24A1B,0x1,ethomas_desktop,34:68:95:94:f8:5c,2018-03-31 12:47:08,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethomas\AutomaticDestinations\d38a3ea7ec79fbed.automaticDestinations-ms,2018-03-31 14:21:36,2018-03-31 14:45:48,2022-11-03 23:12:36,d38a3ea7ec79fbed,LibreOffice 5.1.0.3 Writer,4,6,3,5,2018-03-31 12:47:08,2018-03-31 14:45:16,ethomas_desktop,34:68:95:94:f8:5c,C:\Users\ethomas\Dropbox\Intellectual Property Document.docx,1,False,9f9d4086-34e1-11e8-a404-34689594f85c,9f9d4086-34e1-11e8-a404-34689594f85c,7778aea2-74bb-4079-81d7-bc2bfe4b5698,7778aea2-74bb-4079-81d7-bc2bfe4b5698,2018-03-31 14:45:12,2018-03-30 18:01:50,2018-03-31 14:45:12,16063,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),60D53EE6,,C:\Users\ethomas\Dropbox\Intellectual Property Document.docx,,My Computer\C:\\\\,0x226A3,0xF,ethomas_desktop,34:68:95:94:f8:5c,2018-03-31 12:47:08,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethomas\AutomaticDestinations\d38a3ea7ec79fbed.automaticDestinations-ms,2018-03-31 14:21:36,2018-03-31 14:45:48,2022-11-03 23:12:36,d38a3ea7ec79fbed,LibreOffice 5.1.0.3 Writer,4,6,4,3,2018-03-31 12:47:08,2018-03-31 14:43:37,ethomas_desktop,34:68:95:94:f8:5c,C:\Users\ethomas\Documents\Intellectual Property Document.docx,1,False,9f9d4067-34e1-11e8-a404-34689594f85c,9f9d4067-34e1-11e8-a404-34689594f85c,7778aea2-74bb-4079-81d7-bc2bfe4b5698,7778aea2-74bb-4079-81d7-bc2bfe4b5698,2018-03-31 14:42:31,2018-03-30 18:01:50,2018-03-31 14:42:31,16063,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),60D53EE6,,C:\Users\ethomas\Documents\Intellectual Property Document.docx,,My Computer\C:\\\\,0x226A6,0x14,ethomas_desktop,34:68:95:94:f8:5c,2018-03-31 12:47:08,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethomas\AutomaticDestinations\d38a3ea7ec79fbed.automaticDestinations-ms,2018-03-31 14:21:36,2018-03-31 14:45:48,2022-11-03 23:12:36,d38a3ea7ec79fbed,LibreOffice 5.1.0.3 Writer,4,6,5,1,,2018-03-31 14:42:59,,,F:\Company Sensitive Document.docx,2,False,,,,,2018-03-30 18:18:45,2018-03-30 18:00:42,2018-03-31 04:00:00,15967,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink","Removable storage media (Floppy, USB)",0CBB6FC8,IronKey USB,F:\Company Sensitive Document.docx,,F:\\,0x200300,,,,,PropertyStoreDataBlock,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethomas\AutomaticDestinations\7e4dca80246863e3.automaticDestinations-ms,2018-01-30 16:27:57,2018-01-30 16:27:57,2018-01-30 16:27:57,7e4dca80246863e3,Control Panel - Settings,4,1,0,1,,2018-01-30 16:27:57,,,::{26EE0668-A00A-44D7-9371-BEB064C98683}\6\::{E2E7934B-DCE5-43C4-9576-7FE4F75E7480} ==> Control Panel\6\Date and Time,1,False,,,,,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",(None),,,,,"Control Panel\Clock, Language, and Region\Date and Time",,,,,,PropertyStoreDataBlock,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethomas\AutomaticDestinations\ecd1a5e2c3af9c46.automaticDestinations-ms,2018-03-31 14:22:00,2018-03-31 14:42:39,2022-11-03 23:12:36,ecd1a5e2c3af9c46,LibreOffice 5.1.0.3 Press,4,4,0,4,2018-03-31 12:47:08,2018-03-31 14:42:39,ethomas_desktop,34:68:95:94:f8:5c,C:\Users\ethomas\Documents\Proprietary Corporate Data.pptx,1,False,9f9d4039-34e1-11e8-a404-34689594f85c,9f9d4039-34e1-11e8-a404-34689594f85c,7778aea2-74bb-4079-81d7-bc2bfe4b5698,7778aea2-74bb-4079-81d7-bc2bfe4b5698,2018-03-31 14:42:31,2018-03-30 18:15:24,2018-03-31 14:42:31,49764,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),60D53EE6,,C:\Users\ethomas\Documents\Proprietary Corporate Data.pptx,,My Computer\C:\\\\,0x226A7,0x9,ethomas_desktop,34:68:95:94:f8:5c,2018-03-31 12:47:08,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethomas\AutomaticDestinations\ecd1a5e2c3af9c46.automaticDestinations-ms,2018-03-31 14:22:00,2018-03-31 14:42:39,2022-11-03 23:12:36,ecd1a5e2c3af9c46,LibreOffice 5.1.0.3 Press,4,4,1,3,,2018-03-31 14:42:01,,,F:\SFIR Lab Lesson 5.pptx,1,False,,,,,2018-03-31 14:40:26,2017-09-04 20:31:52,2018-03-31 04:00:00,2193088,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink","Removable storage media (Floppy, USB)",0CBB6FC8,IronKey USB,F:\SFIR Lab Lesson 5.pptx,,F:\\,0x2006A0,,,,,PropertyStoreDataBlock,,
