SourceFile,SourceCreated,SourceModified,SourceAccessed,AppId,AppIdDescription,EntryName,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,CommonPath,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,TrackerCreatedOn,ExtraBlocksPresent,Arguments
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethomas\CustomDestinations\28c8b86deab549a1.customDestinations-ms,2018-03-31 13:05:43,2018-03-31 13:05:43,2018-03-31 13:05:43,28c8b86deab549a1,Internet Explorer 8.0.7600.16385 / 9,,2017-12-14 01:38:57,2017-12-14 01:38:57,2017-12-14 01:46:31,824632,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),60D53EE6,,C:\Program Files\internet explorer\iexplore.exe,,My Computer\C:\Program Files\\,0xBA18,0x1,ethomas_desktop,34:68:95:94:f8:5c,2018-03-26 23:59:26,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",-private
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethomas\CustomDestinations\28c8b86deab549a1.customDestinations-ms,2018-03-31 13:05:43,2018-03-31 13:05:43,2018-03-31 13:05:43,28c8b86deab549a1,Internet Explorer 8.0.7600.16385 / 9,,2017-12-14 01:38:57,2017-12-14 01:38:57,2017-12-14 01:46:31,824632,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),60D53EE6,,C:\Program Files\internet explorer\iexplore.exe,,My Computer\C:\Program Files\\,0xBA18,0x1,ethomas_desktop,34:68:95:94:f8:5c,2018-03-26 23:59:26,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",-newtab
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethomas\CustomDestinations\28c8b86deab549a1.customDestinations-ms,2018-03-31 13:05:43,2018-03-31 13:05:43,2018-03-31 13:05:43,28c8b86deab549a1,Internet Explorer 8.0.7600.16385 / 9,,2017-12-14 01:38:57,2017-12-14 01:38:57,2017-12-14 01:46:31,824632,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),60D53EE6,,C:\Program Files\internet explorer\iexplore.exe,,My Computer\C:\Program Files\\,0xBA18,0x1,ethomas_desktop,34:68:95:94:f8:5c,2018-03-26 23:59:26,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",-restore
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethomas\CustomDestinations\28c8b86deab549a1.customDestinations-ms,2018-03-31 13:05:43,2018-03-31 13:05:43,2018-03-31 13:05:43,28c8b86deab549a1,Internet Explorer 8.0.7600.16385 / 9,,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",(None),,,,,Internet Explorer (Homepage)\https://www.bing.com/search?q=how+to+delete+registry+keys&FORM=IE8SRC&pc=EUPP_,,,,,,PropertyStoreDataBlock,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethomas\CustomDestinations\28c8b86deab549a1.customDestinations-ms,2018-03-31 13:05:43,2018-03-31 13:05:43,2018-03-31 13:05:43,28c8b86deab549a1,Internet Explorer 8.0.7600.16385 / 9,,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",(None),,,,,Internet Explorer (Homepage)\https://www.windows-commandline.com/delete-registry-key-command-line/,,,,,,PropertyStoreDataBlock,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethomas\CustomDestinations\28c8b86deab549a1.customDestinations-ms,2018-03-31 13:05:43,2018-03-31 13:05:43,2018-03-31 13:05:43,28c8b86deab549a1,Internet Explorer 8.0.7600.16385 / 9,,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",(None),,,,,Internet Explorer (Homepage)\https://support.microsoft.com/en-us/help/310516/how-to-add-modify-or-delete-registry-subkeys-and-values-by-using-a-reg,,,,,,PropertyStoreDataBlock,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethomas\CustomDestinations\28c8b86deab549a1.customDestinations-ms,2018-03-31 13:05:43,2018-03-31 13:05:43,2018-03-31 13:05:43,28c8b86deab549a1,Internet Explorer 8.0.7600.16385 / 9,,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",(None),,,,,Internet Explorer (Homepage)\https://www.bing.com/search?q=competitor+of+capital+computing&FORM=IE8SRC&pc=EUPP_,,,,,,PropertyStoreDataBlock,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethomas\CustomDestinations\28c8b86deab549a1.customDestinations-ms,2018-03-31 13:05:43,2018-03-31 13:05:43,2018-03-31 13:05:43,28c8b86deab549a1,Internet Explorer 8.0.7600.16385 / 9,,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",(None),,,,,Internet Explorer (Homepage)\http://go.microsoft.com/fwlink/p/?LinkId=255141,,,,,,PropertyStoreDataBlock,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethomas\CustomDestinations\28c8b86deab549a1.customDestinations-ms,2018-03-31 13:05:43,2018-03-31 13:05:43,2018-03-31 13:05:43,28c8b86deab549a1,Internet Explorer 8.0.7600.16385 / 9,,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",(None),,,,,Internet Explorer (Homepage)\https://www.microsoft.com/en-us/welcomeie11/,,,,,,PropertyStoreDataBlock,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethomas\CustomDestinations\28c8b86deab549a1.customDestinations-ms,2018-03-31 13:05:43,2018-03-31 13:05:43,2018-03-31 13:05:43,28c8b86deab549a1,Internet Explorer 8.0.7600.16385 / 9,,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",(None),,,,,Internet Explorer (Homepage)\http://www.msn.com/?ocid=iehp,,,,,,PropertyStoreDataBlock,
