SourceFile,SourceCreated,SourceModified,SourceAccessed,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,NetworkPath,CommonPath,Arguments,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,MACVendor,TrackerCreatedOn,ExtraBlocksPresent
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\Adorable Cats.lnk,2018-03-31 15:37:03,2018-03-31 15:37:03,2018-03-31 15:37:03,2018-03-30 19:17:09,2018-03-30 19:17:09,2018-03-30 19:17:09,14901,,E:\,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasWorkingDir, IsUnicode, DisableKnownFolderTracking","Removable storage media (Floppy, USB)",7295345F,Personal USB,E:\Adorable Cats.jpg,,,,E:\\,0x27,0x2,ethomas_desktop,34:68:95:94:f8:5c,HON HAI PRECISION,2018-03-29 02:06:09,"TrackerDataBaseBlock, PropertyStoreDataBlock"
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\The Internet.lnk,2018-03-31 14:47:55,2018-03-31 14:47:55,2018-03-31 14:47:55,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking",(None),,,,,,,Internet Explorer (Homepage),,,,,,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\Ethan Thomas Resignation Letter.lnk,2018-03-31 15:54:33,2018-03-31 23:10:56,2022-11-03 23:08:14,2018-03-31 15:54:33,2018-03-31 15:54:44,2018-03-31 15:54:33,4620,..\..\..\..\..\Desktop\Ethan Thomas Resignation Letter.docx,C:\Users\ethan_local\Desktop,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),60D53EE6,,C:\Users\ethan_local\Desktop\Ethan Thomas Resignation Letter.docx,,,,,0x25AE2,0x1,ethomas_desktop,34:68:95:94:f8:5c,HON HAI PRECISION,2018-03-31 12:47:08,"TrackerDataBaseBlock, PropertyStoreDataBlock"
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\Intellectual Property Document.lnk,2018-03-31 15:38:39,2018-03-31 16:04:34,2022-11-03 23:08:14,2018-03-31 15:38:15,2018-03-30 18:01:50,2018-03-31 15:38:15,16063,..\..\..\..\..\Documents\Intellectual Property Document.docx,C:\Users\ethan_local\Documents,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),60D53EE6,,C:\Users\ethan_local\Documents\Intellectual Property Document.docx,,,,My Computer\Documents\,0x17D60,0x3,ethomas_desktop,34:68:95:94:f8:5c,HON HAI PRECISION,2018-03-31 12:47:08,"TrackerDataBaseBlock, PropertyStoreDataBlock"
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\Sensitive Potential Client List.lnk,2018-03-31 15:38:22,2018-03-31 15:38:22,2018-03-31 15:38:22,2018-03-31 15:38:15,2018-03-31 14:22:40,2018-03-31 15:38:15,7412,..\..\..\..\..\Documents\Sensitive Potential Client List.xlsx,C:\Users\ethan_local\Documents,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),60D53EE6,,C:\Users\ethan_local\Documents\Sensitive Potential Client List.xlsx,,,,My Computer\Documents\,0x17D43,0x4,ethomas_desktop,34:68:95:94:f8:5c,HON HAI PRECISION,2018-03-31 12:47:08,"TrackerDataBaseBlock, PropertyStoreDataBlock"
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\EthanThomas_Notes.lnk,2018-03-31 15:38:34,2018-03-31 16:04:39,2018-03-31 16:04:39,2018-03-31 15:38:15,2018-03-31 14:44:00,2018-03-31 15:38:15,9015,..\..\..\..\..\Documents\EthanThomas_Notes.docx,C:\Users\ethan_local\Documents,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),60D53EE6,,C:\Users\ethan_local\Documents\EthanThomas_Notes.docx,,,,My Computer\Documents\,0x17D44,0x2,ethomas_desktop,34:68:95:94:f8:5c,HON HAI PRECISION,2018-03-31 12:47:08,"TrackerDataBaseBlock, PropertyStoreDataBlock"
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\Cat in cute pose.lnk,2018-03-31 15:37:14,2018-03-31 15:37:14,2018-03-31 15:37:14,2018-03-30 19:17:31,2018-03-30 19:17:31,2018-03-30 19:17:31,25880,,E:\,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasWorkingDir, IsUnicode, DisableKnownFolderTracking","Removable storage media (Floppy, USB)",7295345F,Personal USB,E:\Cat in cute pose.jpg,,,,E:\\,0x28,0x2,ethomas_desktop,34:68:95:94:f8:5c,HON HAI PRECISION,2018-03-29 02:06:09,"TrackerDataBaseBlock, PropertyStoreDataBlock"
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\Personal USB (E).lnk,2018-03-31 15:37:03,2018-03-31 15:39:16,2018-03-31 15:39:16,2018-03-30 19:16:14,2018-03-31 15:39:16,2018-03-31 15:39:16,8192,,,"FileAttributeHidden, FileAttributeSystem, FileAttributeDirectory","HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking","Removable storage media (Floppy, USB)",7295345F,Personal USB,E:\,,,,E:\,,,ethomas_desktop,34:68:95:94:f8:5c,HON HAI PRECISION,2018-03-29 02:06:09,"TrackerDataBaseBlock, PropertyStoreDataBlock"
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\Cat with Tongue Out.lnk,2018-03-31 15:37:21,2018-03-31 15:37:21,2018-03-31 15:37:21,2018-03-30 19:18:13,2018-03-30 19:18:13,2018-03-30 19:18:13,5919,,E:\,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasWorkingDir, IsUnicode, DisableKnownFolderTracking","Removable storage media (Floppy, USB)",7295345F,Personal USB,E:\Cat with Tongue Out.jpg,,,,E:\\,0x2A,0x2,ethomas_desktop,34:68:95:94:f8:5c,HON HAI PRECISION,2018-03-29 02:06:09,"TrackerDataBaseBlock, PropertyStoreDataBlock"
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethanlocal\Recent\Downloads.lnk,2018-03-31 15:42:45,2018-03-31 15:42:45,2018-03-31 15:42:45,2018-03-31 14:47:33,2018-03-31 15:42:45,2018-03-31 15:42:45,4096,..\..\..\..\..\Downloads,,"FileAttributeReadonly, FileAttributeDirectory","HasTargetIdList, HasLinkInfo, HasRelativePath, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),60D53EE6,,C:\Users\ethan_local\Downloads,,,,My Computer\Downloads,,,ethomas_desktop,34:68:95:94:f8:5c,HON HAI PRECISION,2018-03-31 12:47:08,"TrackerDataBaseBlock, PropertyStoreDataBlock"
