SourceFile,SourceCreated,SourceModified,SourceAccessed,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,NetworkPath,CommonPath,Arguments,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,MACVendor,TrackerCreatedOn,ExtraBlocksPresent
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethomas\Date and Time.lnk,2018-01-30 16:27:57,2018-01-30 16:27:57,2018-01-30 16:27:57,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking",(None),,,,,,,"Control Panel\Clock, Language, and Region\Date and Time",,,,,,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethomas\Intellectual Property Document.lnk,2018-03-31 14:43:38,2018-03-31 14:45:17,2018-03-31 14:45:17,2018-03-31 14:45:12,2018-03-30 18:01:50,2018-03-31 14:45:12,16063,..\..\..\..\..\Dropbox\Intellectual Property Document.docx,C:\Users\ethomas\Dropbox,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),60D53EE6,,C:\Users\ethomas\Dropbox\Intellectual Property Document.docx,,,,Shared Documents Folder (Users Files)\\,0x226A3,0xF,ethomas_desktop,34:68:95:94:f8:5c,HON HAI PRECISION,2018-03-31 12:47:08,"TrackerDataBaseBlock, PropertyStoreDataBlock"
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethomas\Proprietary Corporate Data.lnk,2018-03-31 14:22:00,2018-03-31 14:42:39,2018-03-31 14:42:39,2018-03-31 14:42:31,2018-03-30 18:15:24,2018-03-31 14:42:31,49764,..\..\..\..\..\Documents\Proprietary Corporate Data.pptx,C:\Users\ethomas\Documents,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),60D53EE6,,C:\Users\ethomas\Documents\Proprietary Corporate Data.pptx,,,,My Computer\Documents\,0x226A7,0x9,ethomas_desktop,34:68:95:94:f8:5c,HON HAI PRECISION,2018-03-31 12:47:08,"TrackerDataBaseBlock, PropertyStoreDataBlock"
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethomas\9781111310646_PPT_ch07.lnk,2018-03-31 14:41:52,2018-03-31 14:41:52,2018-03-31 14:41:52,2018-03-31 14:41:00,2013-08-15 13:46:04,2018-03-31 04:00:00,493205,,F:\,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasWorkingDir, IsUnicode, DisableKnownFolderTracking","Removable storage media (Floppy, USB)",0CBB6FC8,IronKey USB,F:\9781111310646_PPT_ch07.pptx,,,,F:\\,0x200860,,,,,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethomas\SFIR Lab Lesson 5.lnk,2018-03-31 14:42:01,2018-03-31 14:42:01,2018-03-31 14:42:01,2018-03-31 14:40:26,2017-09-04 20:31:52,2018-03-31 04:00:00,2193088,,F:\,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasWorkingDir, IsUnicode, DisableKnownFolderTracking","Removable storage media (Floppy, USB)",0CBB6FC8,IronKey USB,F:\SFIR Lab Lesson 5.pptx,,,,F:\\,0x2006A0,,,,,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethomas\Sensitive Potential Client List.lnk,2018-03-31 14:22:13,2018-03-31 14:22:13,2018-03-31 14:22:13,2018-03-30 18:18:45,2018-03-30 18:17:48,2018-03-30 04:00:00,9206,,F:\,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasWorkingDir, IsUnicode, DisableKnownFolderTracking","Removable storage media (Floppy, USB)",0CBB6FC8,IronKey USB,F:\Sensitive Potential Client List.xlsx,,,,F:\\,0x200380,,,,,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethomas\EthanThomas_Notes.lnk,2018-03-31 14:44:00,2018-03-31 14:45:48,2018-03-31 14:45:48,2018-03-31 14:43:58,2018-03-31 14:44:00,2018-03-31 14:44:00,9015,..\..\..\..\..\Documents\EthanThomas_Notes.docx,C:\Users\ethomas\Documents,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),60D53EE6,,C:\Users\ethomas\Documents\EthanThomas_Notes.docx,,,,My Computer\Documents\,0x22714,0x3,ethomas_desktop,34:68:95:94:f8:5c,HON HAI PRECISION,2018-03-31 12:47:08,"TrackerDataBaseBlock, PropertyStoreDataBlock"
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethomas\Company Sensitive Document.lnk,2018-03-31 14:21:36,2018-03-31 14:45:42,2018-03-31 14:45:42,2018-03-31 14:42:31,2018-03-31 14:43:21,2018-03-31 14:42:31,9007,..\..\..\..\..\Documents\Company Sensitive Document.docx,C:\Users\ethomas\Documents,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),60D53EE6,,C:\Users\ethomas\Documents\Company Sensitive Document.docx,,,,My Computer\Documents\,0x226A5,0xA,ethomas_desktop,34:68:95:94:f8:5c,HON HAI PRECISION,2018-03-31 12:47:08,"TrackerDataBaseBlock, PropertyStoreDataBlock"
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethomas\Dropbox.lnk,2018-03-31 14:45:17,2018-03-31 14:45:23,2018-03-31 14:45:23,2018-03-31 13:21:49,2018-03-31 14:45:21,2018-03-31 14:45:21,4096,..\..\..\..\..\Dropbox,,"FileAttributeReadonly, FileAttributeDirectory","HasTargetIdList, HasLinkInfo, HasRelativePath, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),60D53EE6,,C:\Users\ethomas\Dropbox,,,,Shared Documents Folder (Users Files)\,0x2259A,0x2,ethomas_desktop,34:68:95:94:f8:5c,HON HAI PRECISION,2018-03-31 12:47:08,"TrackerDataBaseBlock, PropertyStoreDataBlock"
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Labs\CaseStudy02\CaseFolder\Recent\Recent_ethomas\IronKey Secure Files (F).lnk,2018-03-31 14:21:36,2018-03-31 14:42:59,2018-03-31 14:42:59,1980-01-01 04:00:00,1980-01-01 04:00:00,1980-01-01 04:00:00,0,,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking","Removable storage media (Floppy, USB)",0CBB6FC8,IronKey USB,F:\,,,,F:\,,,,,,,
