RunTime,ExecutableName
2018-04-03 16:32:33,AM_DELTA_PATCH_1.263.1974.0.E
2018-03-31 15:10:32,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2018-03-31 14:51:50,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2018-04-03 16:31:19,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\SVCHOST.EXE
2018-03-31 15:05:08,\VOLUME{01d3c565d4f49eb4-60d53ee6}\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.ZUNEMUSIC_10.18011.13411.0_X64__8WEKYB3D8BBWE\MUSIC.UI.EXE
2018-04-03 16:30:31,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE
2018-04-03 00:58:46,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE
2018-04-03 00:57:43,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE
2018-04-03 00:13:50,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE
2018-03-31 14:47:47,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE
2018-03-31 12:49:15,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE
2018-04-03 01:03:07,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\RUNDLL32.EXE
2018-04-03 01:03:05,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\RUNDLL32.EXE
2018-04-03 00:58:07,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\RUNDLL32.EXE
2018-03-31 15:05:24,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\RUNDLL32.EXE
2018-03-31 14:51:31,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\RUNDLL32.EXE
2018-03-31 13:21:27,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\RUNDLL32.EXE
2018-03-31 13:18:42,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\RUNDLL32.EXE
2018-03-31 13:11:08,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\RUNDLL32.EXE
2018-04-03 00:45:06,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\DLLHOST.EXE
2018-04-03 12:39:41,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\DLLHOST.EXE
2018-04-03 00:45:29,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\DLLHOST.EXE
2018-04-03 00:12:02,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\DLLHOST.EXE
2018-03-31 15:04:37,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\DLLHOST.EXE
2018-03-31 12:49:33,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\DLLHOST.EXE
2018-03-30 15:15:47,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\DLLHOST.EXE
2018-03-27 00:13:07,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\DLLHOST.EXE
2018-04-03 00:11:40,\VOLUME{01d3c565d4f49eb4-60d53ee6}\USERS\ETHAN_LOCAL\APPDATA\LOCAL\MICROSOFT\ONEDRIVE\18.025.0204.0009_1\FILESYNCCONFIG.EXE
2018-04-03 16:59:02,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\SEARCHFILTERHOST.EXE
2018-04-03 16:47:39,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\SEARCHFILTERHOST.EXE
2018-04-03 16:17:41,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\SEARCHFILTERHOST.EXE
2018-04-03 14:24:34,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\SEARCHFILTERHOST.EXE
2018-04-03 14:09:34,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\SEARCHFILTERHOST.EXE
2018-04-03 13:54:34,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\SEARCHFILTERHOST.EXE
2018-04-03 13:41:54,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\SEARCHFILTERHOST.EXE
2018-04-03 13:39:34,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\SEARCHFILTERHOST.EXE
2018-03-31 23:10:56,\VOLUME{01d3c565d4f49eb4-60d53ee6}\PROGRAM FILES\LIBREOFFICE\PROGRAM\SOFFICE.BIN
2018-03-31 23:07:02,\VOLUME{01d3c565d4f49eb4-60d53ee6}\PROGRAM FILES\LIBREOFFICE\PROGRAM\SOFFICE.BIN
2018-03-31 16:04:34,\VOLUME{01d3c565d4f49eb4-60d53ee6}\PROGRAM FILES\LIBREOFFICE\PROGRAM\SOFFICE.BIN
2018-03-31 15:45:10,\VOLUME{01d3c565d4f49eb4-60d53ee6}\PROGRAM FILES\LIBREOFFICE\PROGRAM\SOFFICE.BIN
2018-03-31 15:38:24,\VOLUME{01d3c565d4f49eb4-60d53ee6}\PROGRAM FILES\LIBREOFFICE\PROGRAM\SOFFICE.BIN
2018-03-31 15:38:22,\VOLUME{01d3c565d4f49eb4-60d53ee6}\PROGRAM FILES\LIBREOFFICE\PROGRAM\SOFFICE.BIN
2018-03-31 14:42:59,\VOLUME{01d3c565d4f49eb4-60d53ee6}\PROGRAM FILES\LIBREOFFICE\PROGRAM\SOFFICE.BIN
2018-03-31 14:42:50,\VOLUME{01d3c565d4f49eb4-60d53ee6}\PROGRAM FILES\LIBREOFFICE\PROGRAM\SOFFICE.BIN
2018-04-03 16:37:35,\VOLUME{01d3c565d4f49eb4-60d53ee6}\PROGRAM FILES (X86)\DROPBOX\UPDATE\DROPBOXUPDATE.EXE
2018-04-03 16:31:16,\VOLUME{01d3c565d4f49eb4-60d53ee6}\PROGRAM FILES (X86)\DROPBOX\UPDATE\DROPBOXUPDATE.EXE
2018-04-03 16:31:16,\VOLUME{01d3c565d4f49eb4-60d53ee6}\PROGRAM FILES (X86)\DROPBOX\UPDATE\DROPBOXUPDATE.EXE
2018-04-03 16:31:16,\VOLUME{01d3c565d4f49eb4-60d53ee6}\PROGRAM FILES (X86)\DROPBOX\UPDATE\DROPBOXUPDATE.EXE
2018-04-03 16:14:06,\VOLUME{01d3c565d4f49eb4-60d53ee6}\PROGRAM FILES (X86)\DROPBOX\UPDATE\DROPBOXUPDATE.EXE
2018-04-03 14:23:59,\VOLUME{01d3c565d4f49eb4-60d53ee6}\PROGRAM FILES (X86)\DROPBOX\UPDATE\DROPBOXUPDATE.EXE
2018-04-03 14:11:00,\VOLUME{01d3c565d4f49eb4-60d53ee6}\PROGRAM FILES (X86)\DROPBOX\UPDATE\DROPBOXUPDATE.EXE
2018-04-03 13:11:19,\VOLUME{01d3c565d4f49eb4-60d53ee6}\PROGRAM FILES (X86)\DROPBOX\UPDATE\DROPBOXUPDATE.EXE
2018-04-01 04:16:53,\VOLUME{01d3c565d4f49eb4-60d53ee6}\PROGRAM FILES (X86)\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2018-03-31 14:47:49,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\DLLHOST.EXE
2018-03-27 00:11:12,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\DLLHOST.EXE
2018-04-03 16:17:42,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\FONTDRVHOST.EXE
2018-04-03 00:58:36,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\FONTDRVHOST.EXE
2018-04-03 00:12:33,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\FONTDRVHOST.EXE
