SourceFile,SourceCreated,SourceModified,SourceAccessed,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,NetworkPath,CommonPath,Arguments,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,MACVendor,TrackerCreatedOn,ExtraBlocksPresent
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy03\CaseFolder\Recent\Recent\Cloudy thoughts (4apr).lnk,2018-04-05 02:39:29,2018-04-05 02:41:01,2018-04-05 02:41:01,2018-04-05 02:39:29,2018-04-05 02:39:30,2018-04-05 02:39:30,12547,..\..\..\..\..\Desktop\Cloudy thoughts (4apr).docx,C:\Users\jcloudy\Desktop,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\Cloudy thoughts (4apr).docx,,,,My Computer\Desktop\,0x21C18,0x7,desktop-pm6c56d,28:e3:47:01:77:77,LITEON,2018-04-04 06:24:29,"TrackerDataBaseBlock, PropertyStoreDataBlock"
"\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy03\CaseFolder\Recent\Recent\Cubs' Anthony Rizzo Praises Parkland Kids, Says 'It's too Easy to Get a Gun'.lnk",2018-03-30 04:32:25,2018-03-30 04:32:26,2022-11-17 00:26:43,,,,0,"..\..\..\..\..\Desktop\Cubs' Anthony Rizzo Praises Parkland Kids, Says 'It's too Easy to Get a Gun'.html",C:\Users\jcloudy\Desktop,0,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,"C:\Users\jcloudy\Desktop\Cubs' Anthony Rizzo Praises Parkland Kids, Says 'It's too Easy to Get a Gun'.html",,,,My Computer\Desktop\,0x0,,,,,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy03\CaseFolder\Recent\Recent\The Internet.lnk,2018-03-27 09:27:12,2018-03-27 23:39:13,2018-03-27 23:39:13,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking",(None),,,,,,,Internet Explorer (Homepage),,,,,,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy03\CaseFolder\Recent\Recent\Power Options.lnk,2018-04-06 08:31:50,2018-04-06 08:31:50,2018-04-06 08:31:50,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking",(None),,,,,,,Control Panel\Hardware and Sound\Power Options,,,,,,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy03\CaseFolder\Recent\Recent\Larry King_ Time to Repeal the 'Poorly Written' Second Amendment.lnk,2018-03-30 04:29:48,2018-03-30 04:29:48,2018-03-30 04:29:48,,,,0,..\..\..\..\..\Desktop\Larry King_ Time to Repeal the 'Poorly Written' Second Amendment.html,C:\Users\jcloudy\Desktop,0,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\Larry King_ Time to Repeal the 'Poorly Written' Second Amendment.html,,,,My Computer\Desktop\,0x0,,,,,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy03\CaseFolder\Recent\Recent\LeftUsesBoycotts.lnk,2018-04-06 03:56:32,2018-04-06 03:56:32,2018-04-06 03:56:32,,,,0,..\..\..\..\..\Desktop\LeftUsesBoycotts.pdf,C:\Users\jcloudy\Desktop,0,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\LeftUsesBoycotts.pdf,,,,My Computer\Desktop\,0x0,,,,,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy03\CaseFolder\Recent\Recent\AIRPORT INFORMATION.lnk,2018-03-30 02:29:57,2018-04-04 05:11:46,2018-04-04 05:11:46,2018-03-30 02:29:57,2018-04-04 04:59:32,2018-04-04 04:59:32,172684,..\..\..\..\..\Desktop\AIRPORT INFORMATION.docx,C:\Users\jcloudy\Desktop,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\AIRPORT INFORMATION.docx,,,,My Computer\Desktop\,0x2079F,0x8,desktop-pm6c56d,28:e3:47:01:77:77,LITEON,2018-03-27 21:45:39,"TrackerDataBaseBlock, PropertyStoreDataBlock"
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy03\CaseFolder\Recent\Recent\rootkey.lnk,2018-04-06 12:27:08,2018-04-06 12:27:08,2018-04-06 12:27:08,2018-03-27 23:59:20,2018-03-27 23:59:20,2018-03-27 23:59:20,90,..\..\..\..\..\Downloads\rootkey.csv,C:\Users\jcloudy\Downloads,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Downloads\rootkey.csv,,,,My Computer\Downloads\,0x22044,0x11,desktop-pm6c56d,28:e3:47:01:77:77,LITEON,2018-04-06 07:50:45,"TrackerDataBaseBlock, PropertyStoreDataBlock"
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy03\CaseFolder\Recent\Recent\Getting started with OneDrive.lnk,2018-03-27 09:51:12,2018-03-27 09:51:12,2018-03-27 09:51:12,2018-03-27 09:50:14,2018-03-03 08:03:14,2018-03-27 09:50:15,398083,..\..\..\..\..\OneDrive\Getting started with OneDrive.pdf,C:\Users\jcloudy\OneDrive,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\OneDrive\Getting started with OneDrive.pdf,,,,OneDrive\,0x16E37,0x2,desktop-pm6c56d,ec:f4:bb:48:7f:ed,DELL,2018-03-27 12:13:12,"TrackerDataBaseBlock, PropertyStoreDataBlock"
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy03\CaseFolder\Recent\Recent\HoldMyTidePod.jpg_large.lnk,2018-03-30 03:29:20,2018-03-30 03:29:20,2018-03-30 03:29:20,,,,0,..\..\..\..\..\Desktop\HoldMyTidePod.jpg_large,C:\Users\jcloudy\Desktop,0,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\HoldMyTidePod.jpg_large,,,,My Computer\Desktop\,0x0,,,,,,
