Thu Nov 17 22:00:06 2022: Hive (\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy03\CaseFolder\NTUSER\NTUSER.DAT.copy0) is dirty.

Thu Nov 17 22:00:06 2022: Log opened.
Thu Nov 17 22:00:06 2022: File: \\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy03\CaseFolder\NTUSER\NTUSER.DAT.copy0
Thu Nov 17 22:00:06 2022: Environment set up.
Thu Nov 17 22:00:06 2022: Launching adobe v.20200522
Thu Nov 17 22:00:06 2022: Launching allowedenum v.20200511
Thu Nov 17 22:00:06 2022: Launching appassoc v.20200515
Thu Nov 17 22:00:06 2022: Launching appcompatflags v.20200525
Thu Nov 17 22:00:06 2022: Launching appkeys v.20200517
Thu Nov 17 22:00:06 2022: Launching applets v.20200525
Thu Nov 17 22:00:07 2022: Launching apppaths v.20200511
Thu Nov 17 22:00:07 2022: Launching appspecific v.20200515
Thu Nov 17 22:00:07 2022: Launching appx v.20200427
Thu Nov 17 22:00:07 2022: Launching arpcache v.20200515
Thu Nov 17 22:00:07 2022: Launching attachmgr v.20200525
Thu Nov 17 22:00:07 2022: Launching cached v.20200525
Thu Nov 17 22:00:07 2022: Launching cmdproc v.20200515
Thu Nov 17 22:00:07 2022: Launching comdlg32 v.20200517
Thu Nov 17 22:00:07 2022: Launching compdesc v.20200511
Thu Nov 17 22:00:07 2022: Launching DDO v.20140414
Thu Nov 17 22:00:07 2022: Launching disablemru v.20190924
Thu Nov 17 22:00:07 2022: Launching environment v.20200512
Thu Nov 17 22:00:07 2022: Launching featureusage v.20200511
Thu Nov 17 22:00:07 2022: [*] Launching heidisql v.20201227
Thu Nov 17 22:00:07 2022: Launching identities v.20200525
Thu Nov 17 22:00:07 2022: Launching injectdll64 v.20200427
Thu Nov 17 22:00:07 2022: Launching jumplistdata v.20200517
Thu Nov 17 22:00:07 2022: Launching knowndev v.20200515
Thu Nov 17 22:00:07 2022: Launching listsoft v.20200517
Thu Nov 17 22:00:07 2022: Launching load v.20200517
Thu Nov 17 22:00:07 2022: Launching logonstats v.20200517
Thu Nov 17 22:00:07 2022: Launching lxss v.20200511
Thu Nov 17 22:00:07 2022: Launching mixer v.20200517
Thu Nov 17 22:00:07 2022: Launching mmc v.20200517
Thu Nov 17 22:00:07 2022: Launching mmo v.20200517
Thu Nov 17 22:00:07 2022: Launching mndmru v.20200517
Thu Nov 17 22:00:07 2022: Launching mp2 v.20200526
Thu Nov 17 22:00:07 2022: Launching mpmru v.20200517
Thu Nov 17 22:00:07 2022: Launching  msoffice v.20200518
Thu Nov 17 22:00:07 2022: Launching muicache v.20200525
Thu Nov 17 22:00:07 2022: Launching nation v.20200517
Thu Nov 17 22:00:07 2022: Launching oisc v.20091125
Thu Nov 17 22:00:07 2022: Launching onedrivev.20200515
Thu Nov 17 22:00:07 2022: Launching osversion v.20200511
Thu Nov 17 22:00:07 2022: Launching outlook_homepage v.20201002
Thu Nov 17 22:00:07 2022: Launching pendinggpos v.20200427
Thu Nov 17 22:00:07 2022: Launching profiler v.20200525
Thu Nov 17 22:00:07 2022: Launching pslogging v.20200515
Thu Nov 17 22:00:07 2022: Launching psscript v.20200525
Thu Nov 17 22:00:07 2022: Launching putty v.20200515
Thu Nov 17 22:00:07 2022: Launching recentapps v.20200515
Thu Nov 17 22:00:08 2022: Launching recentdocs v.20200427
Thu Nov 17 22:00:08 2022: Launching run v.20200511
Thu Nov 17 22:00:08 2022: Launching runmru v.20200525
Thu Nov 17 22:00:08 2022: Launching runvirtual v.20200427
Thu Nov 17 22:00:08 2022: Launching searchscopes v.20200517
Thu Nov 17 22:00:08 2022: Error in searchscopes: Can't call method "get_data" on an undefined value at \\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\TOOLS\RegRipper3.0-master/plugins\searchscopes.pl line 51.

Thu Nov 17 22:00:08 2022: Launching 7-zip v.20200515
Thu Nov 17 22:00:08 2022: Launching shc v.20200427
Thu Nov 17 22:00:08 2022: Launching shellfolders v.20200515
Thu Nov 17 22:00:08 2022: Launching speech v.20200427
Thu Nov 17 22:00:08 2022: Launching sysinternals v.20080324
Thu Nov 17 22:00:08 2022: Launching tsclient v.20200518
Thu Nov 17 22:00:08 2022: Launching typedpaths v.20200526
Thu Nov 17 22:00:08 2022: Launching typedurls v.20200526
Thu Nov 17 22:00:08 2022: Launching typedurlstime v.20200526
Thu Nov 17 22:00:08 2022: Launching uninstall v.20200525
Thu Nov 17 22:00:08 2022: Launching userassist v.20170204
Thu Nov 17 22:00:08 2022: Launching wc_shares v.20200515
Thu Nov 17 22:00:08 2022: Launching winrar v.20200526
Thu Nov 17 22:00:08 2022: Launching winscp v.20201227
Thu Nov 17 22:00:08 2022: Launching WinZip v.20200526
Thu Nov 17 22:00:08 2022: Launching wordwheelquery v.20200823
