Thu Nov 17 21:58:19 2022: Hive (\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy03\CaseFolder\SOFTWARE\SOFTWARE) is dirty.

Thu Nov 17 21:58:19 2022: Log opened.
Thu Nov 17 21:58:19 2022: File: \\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy03\CaseFolder\SOFTWARE\SOFTWARE
Thu Nov 17 21:58:19 2022: Environment set up.
Thu Nov 17 21:58:19 2022: Launching allowedenum v.20200511
Thu Nov 17 21:58:19 2022: Launching appcompatflags v.20200525
Thu Nov 17 21:58:19 2022: Launching appkeys v.20200517
Thu Nov 17 21:58:19 2022: Launching apppaths v.20200511
Thu Nov 17 21:58:19 2022: Launching at v.20200525
Thu Nov 17 21:58:20 2022: Launching btconfig v.20200526
Thu Nov 17 21:58:20 2022: Launching calibrator v.20200427
Thu Nov 17 21:58:20 2022: Launching clsid v.20200526
Thu Nov 17 21:58:47 2022: Launching cmd_shell v.20200515
Thu Nov 17 21:58:48 2022: Launching dcom v.20200525
Thu Nov 17 21:58:48 2022: Launching defender v.20200427
Thu Nov 17 21:58:49 2022: Launching disablemru v.20190924
Thu Nov 17 21:58:49 2022: Launching disablesr v.20200515
Thu Nov 17 21:58:49 2022: Launching drivers32 v.20200525
Thu Nov 17 21:58:49 2022: Launching emdmgmt v.20200511
Thu Nov 17 21:58:49 2022: Launching gpohist v.
Thu Nov 17 21:58:49 2022: Launching heap v.20200427
Thu Nov 17 21:58:49 2022: Launching ica_sessions v.20200528
Thu Nov 17 21:58:49 2022: Launching imagefile v.20200515
Thu Nov 17 21:58:49 2022: Launching injectdll64 v.20200427
Thu Nov 17 21:58:49 2022: Launching inprocserver v.20200427
Thu Nov 17 21:58:52 2022: Launching installer v.20200517
Thu Nov 17 21:58:52 2022: Launching landesk v.20200517
Thu Nov 17 21:58:52 2022: Launching lastloggedon v.20200517
Thu Nov 17 21:58:52 2022: Launching licenses v.20200526
Thu Nov 17 21:58:52 2022: Launching macaddr v.20200515
Thu Nov 17 21:58:52 2022: Launching msis v.20200517
Thu Nov 17 21:58:52 2022: Launching networkcards v.20200518
Thu Nov 17 21:58:53 2022: Launching networklist v.20200518
Thu Nov 17 21:58:53 2022: Launching outlook_homepage v.20201002
Thu Nov 17 21:58:53 2022: Launching portdev v.20090118
Thu Nov 17 21:58:53 2022: Launching powershellcore v.20200525
Thu Nov 17 21:58:53 2022: Launching printdemon v.20200514
Thu Nov 17 21:58:53 2022: Launching profilelist v.20200518
Thu Nov 17 21:58:53 2022: Launching pslogging v.20200515
Thu Nov 17 21:58:53 2022: Launching psscript v.20200525
Thu Nov 17 21:58:53 2022: Launching run v.20200511
Thu Nov 17 21:58:53 2022: Launching runvirtual v.20200427
Thu Nov 17 21:58:53 2022: Launching ryuk_gpo v.20200427
Thu Nov 17 21:58:53 2022: Launching schedagent v.20200518
Thu Nov 17 21:58:53 2022: Launching scriptleturl v.20200525
Thu Nov 17 21:58:55 2022: Launching secctr v.20200517
Thu Nov 17 21:58:55 2022: Launching sfc v.20200517
Thu Nov 17 21:58:55 2022: Launching shelloverlay v.20100308
Thu Nov 17 21:58:55 2022: Launching spp_clients v.20130429
Thu Nov 17 21:58:55 2022: Launching ssid v.20200515
Thu Nov 17 21:58:55 2022: Launching susclient v.20200518
Thu Nov 17 21:58:55 2022: Launching systemindex v.20200518
Thu Nov 17 21:58:55 2022: Launching taskcache v.20200427
Thu Nov 17 21:58:55 2022: Launching tasks v.20200427
Thu Nov 17 21:58:56 2022: Launching termserv v.20200506
Thu Nov 17 21:58:56 2022: Launching uac v.20200427
Thu Nov 17 21:58:56 2022: Launching uacbypass v.20200511
Thu Nov 17 21:58:58 2022: Launching uninstall v.20200525
Thu Nov 17 21:58:58 2022: Launching wab v.20200427
Thu Nov 17 21:58:58 2022: Launching wbem v.20200511
Thu Nov 17 21:58:58 2022: Launching winver v.20200525
