SourceFile,SourceCreated,SourceModified,SourceAccessed,AppId,AppIdDescription,DestListVersion,LastUsedEntryNumber,MRU,EntryNumber,CreationTime,LastModified,Hostname,MacAddress,Path,InteractionCount,PinStatus,FileBirthDroid,FileDroid,VolumeBirthDroid,VolumeDroid,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,CommonPath,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,TrackerCreatedOn,ExtraBlocksPresent,Arguments,Notes
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy04\CaseFolder\RECENT\Recent\AutomaticDestinations\a52b0784bd667468.automaticDestinations-ms,2019-03-26 12:41:15,2019-03-26 17:24:25,2022-11-30 01:18:16,a52b0784bd667468,Photos Microsoft 16.526.11220.0 (Windows 10),4,8,0,8,2019-03-26 10:43:45,2019-03-26 17:24:25,desktop-n566fm9,70:5a:b6:91:13:5d,C:\Users\Justine B\Downloads\stella.jpg,1,False,07cba753-4fb4-11e9-8a33-705ab691135d,07cba753-4fb4-11e9-8a33-705ab691135d,fa00f338-0b60-4461-b34c-fed88b63014a,fa00f338-0b60-4461-b34c-fed88b63014a,2019-03-26 17:24:13,2019-03-26 17:24:13,2019-03-26 17:24:13,45931,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),DCAECB8D,Operating Sytem,C:\Users\Justine B\Downloads\stella.jpg,,My Computer\C:\\\\,0x15DF3,0x7,desktop-n566fm9,70:5a:b6:91:13:5d,2019-03-26 10:43:45,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy04\CaseFolder\RECENT\Recent\AutomaticDestinations\a52b0784bd667468.automaticDestinations-ms,2019-03-26 12:41:15,2019-03-26 17:24:25,2022-11-30 01:18:16,a52b0784bd667468,Photos Microsoft 16.526.11220.0 (Windows 10),4,8,1,7,2019-03-26 10:43:45,2019-03-26 17:19:30,desktop-n566fm9,70:5a:b6:91:13:5d,C:\Users\Justine B\Downloads\pFRtHLhL4eOA4de3yoIRiZt1DONVY3miIQtn8qVU0FI.gif,1,False,07cba719-4fb4-11e9-8a33-705ab691135d,07cba719-4fb4-11e9-8a33-705ab691135d,fa00f338-0b60-4461-b34c-fed88b63014a,fa00f338-0b60-4461-b34c-fed88b63014a,2019-03-26 17:19:17,2019-03-26 17:19:18,2019-03-26 17:19:13,264855,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),DCAECB8D,Operating Sytem,C:\Users\Justine B\Downloads\pFRtHLhL4eOA4de3yoIRiZt1DONVY3miIQtn8qVU0FI.gif,,My Computer\C:\\\\,0x26EEB,0x2,desktop-n566fm9,70:5a:b6:91:13:5d,2019-03-26 10:43:45,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy04\CaseFolder\RECENT\Recent\AutomaticDestinations\a52b0784bd667468.automaticDestinations-ms,2019-03-26 12:41:15,2019-03-26 17:24:25,2022-11-30 01:18:16,a52b0784bd667468,Photos Microsoft 16.526.11220.0 (Windows 10),4,8,2,1,,2019-03-26 15:43:20,,,F:\cuteowl.jpg,2,False,,,,,2019-02-20 18:41:45,2019-02-19 18:21:14,2019-02-20 04:00:00,7827,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink","Removable storage media (Floppy, USB)",20F3BCE6,CAMERACARD,F:\cuteowl.jpg,,F:\\,0x4000A0,,,,,PropertyStoreDataBlock,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy04\CaseFolder\RECENT\Recent\AutomaticDestinations\a52b0784bd667468.automaticDestinations-ms,2019-03-26 12:41:15,2019-03-26 17:24:25,2022-11-30 01:18:16,a52b0784bd667468,Photos Microsoft 16.526.11220.0 (Windows 10),4,8,3,3,,2019-03-26 15:43:11,,,F:\nicepic.jpg,2,False,,,,,2019-02-20 18:41:45,2019-02-19 18:19:58,2019-03-26 04:00:00,11320,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink","Removable storage media (Floppy, USB)",20F3BCE6,CAMERACARD,F:\nicepic.jpg,,F:\\,0x400080,,,,,PropertyStoreDataBlock,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy04\CaseFolder\RECENT\Recent\AutomaticDestinations\a52b0784bd667468.automaticDestinations-ms,2019-03-26 12:41:15,2019-03-26 17:24:25,2022-11-30 01:18:16,a52b0784bd667468,Photos Microsoft 16.526.11220.0 (Windows 10),4,8,4,4,,2019-03-26 15:43:05,,,F:\frogmouth.jpg,2,False,,,,,2019-02-20 18:41:45,2019-02-19 15:30:26,2019-03-26 04:00:00,8632,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink","Removable storage media (Floppy, USB)",20F3BCE6,CAMERACARD,F:\frogmouth.jpg,,F:\\,0x4001C0,,,,,PropertyStoreDataBlock,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy04\CaseFolder\RECENT\Recent\AutomaticDestinations\a52b0784bd667468.automaticDestinations-ms,2019-03-26 12:41:15,2019-03-26 17:24:25,2022-11-30 01:18:16,a52b0784bd667468,Photos Microsoft 16.526.11220.0 (Windows 10),4,8,5,6,,2019-03-26 15:42:46,,,F:\30588_112467978790101_5187737_n.jpg,1,False,,,,,2019-03-26 14:54:30,2019-03-26 14:54:32,2019-03-26 04:00:00,17585,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink","Removable storage media (Floppy, USB)",FC9BD2D2,,F:\30588_112467978790101_5187737_n.jpg,,My Computer\F:\,0xEA5200,,,,,PropertyStoreDataBlock,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy04\CaseFolder\RECENT\Recent\AutomaticDestinations\a52b0784bd667468.automaticDestinations-ms,2019-03-26 12:41:15,2019-03-26 17:24:25,2022-11-30 01:18:16,a52b0784bd667468,Photos Microsoft 16.526.11220.0 (Windows 10),4,8,6,5,,2019-03-26 15:42:42,,,F:\00y0y_j53rBCrjb8J_1200x900.jpg,1,False,,,,,2019-03-26 14:50:24,2019-03-26 14:50:26,2019-03-26 04:00:00,28989,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink","Removable storage media (Floppy, USB)",FC9BD2D2,,F:\00y0y_j53rBCrjb8J_1200x900.jpg,,My Computer\F:\,0xEA5120,,,,,PropertyStoreDataBlock,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy04\CaseFolder\RECENT\Recent\AutomaticDestinations\a52b0784bd667468.automaticDestinations-ms,2019-03-26 12:41:15,2019-03-26 17:24:25,2022-11-30 01:18:16,a52b0784bd667468,Photos Microsoft 16.526.11220.0 (Windows 10),4,8,7,2,,2019-03-26 12:41:31,,,F:\d26ac13321f158c9e5e2fa459a6974ba.jpg,1,False,,,,,2019-02-20 18:41:45,2019-02-19 18:27:18,2019-02-20 04:00:00,35920,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink","Removable storage media (Floppy, USB)",20F3BCE6,CAMERACARD,F:\d26ac13321f158c9e5e2fa459a6974ba.jpg,,My Computer\F:\,0x400120,,,,,PropertyStoreDataBlock,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy04\CaseFolder\RECENT\Recent\AutomaticDestinations\9d1f905ce5044aee.automaticDestinations-ms,2019-03-25 13:07:03,2019-03-26 16:09:39,2022-11-30 01:18:16,9d1f905ce5044aee,Edge Browser,4,5,0,5,,2019-03-26 16:09:39,,,F:\Whooo_Am_I_Owls_Bro.pdf,1,False,,,,,2019-03-26 15:31:37,2019-03-26 15:31:40,2019-03-26 04:00:00,3260666,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink","Removable storage media (Floppy, USB)",FC9BD2D2,,F:\Whooo_Am_I_Owls_Bro.pdf,,My Computer\F:\,0xEA50A0,,,,,PropertyStoreDataBlock,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy04\CaseFolder\RECENT\Recent\AutomaticDestinations\9d1f905ce5044aee.automaticDestinations-ms,2019-03-25 13:07:03,2019-03-26 16:09:39,2022-11-30 01:18:16,9d1f905ce5044aee,Edge Browser,4,5,1,4,,2019-03-26 15:42:32,,,F:\Great Horned Owl.pdf,1,False,,,,,2019-03-26 15:32:09,2019-03-26 15:32:10,2019-03-26 04:00:00,1048178,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink","Removable storage media (Floppy, USB)",FC9BD2D2,,F:\Great Horned Owl.pdf,,My Computer\F:\,0xEA5300,,,,,PropertyStoreDataBlock,,
