Tue Nov 29 20:39:26 2022: Hive (\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy04\CaseFolder\SOFTWARE\SOFTWARE) is dirty.

Tue Nov 29 20:39:26 2022: Log opened.
Tue Nov 29 20:39:26 2022: File: \\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\ISF\Labs\CaseStudy04\CaseFolder\SOFTWARE\SOFTWARE
Tue Nov 29 20:39:26 2022: Environment set up.
Tue Nov 29 20:39:26 2022: Launching allowedenum v.20200511
Tue Nov 29 20:39:26 2022: Launching appcompatflags v.20200525
Tue Nov 29 20:39:26 2022: Launching appkeys v.20200517
Tue Nov 29 20:39:26 2022: Launching apppaths v.20200511
Tue Nov 29 20:39:26 2022: Launching at v.20200525
Tue Nov 29 20:39:26 2022: Launching btconfig v.20200526
Tue Nov 29 20:39:26 2022: Launching calibrator v.20200427
Tue Nov 29 20:39:26 2022: Launching clsid v.20200526
Tue Nov 29 20:39:52 2022: Launching cmd_shell v.20200515
Tue Nov 29 20:39:53 2022: Launching dcom v.20200525
Tue Nov 29 20:39:53 2022: Launching defender v.20200427
Tue Nov 29 20:39:53 2022: Launching disablemru v.20190924
Tue Nov 29 20:39:53 2022: Launching disablesr v.20200515
Tue Nov 29 20:39:53 2022: Launching drivers32 v.20200525
Tue Nov 29 20:39:53 2022: Launching emdmgmt v.20200511
Tue Nov 29 20:39:53 2022: Launching gpohist v.
Tue Nov 29 20:39:53 2022: Launching heap v.20200427
Tue Nov 29 20:39:53 2022: Launching ica_sessions v.20200528
Tue Nov 29 20:39:53 2022: Launching imagefile v.20200515
Tue Nov 29 20:39:54 2022: Launching injectdll64 v.20200427
Tue Nov 29 20:39:54 2022: Launching inprocserver v.20200427
Tue Nov 29 20:39:56 2022: Launching installer v.20200517
Tue Nov 29 20:39:57 2022: Launching landesk v.20200517
Tue Nov 29 20:39:57 2022: Launching lastloggedon v.20200517
Tue Nov 29 20:39:57 2022: Launching licenses v.20200526
Tue Nov 29 20:39:57 2022: Launching macaddr v.20200515
Tue Nov 29 20:39:57 2022: Launching msis v.20200517
Tue Nov 29 20:39:57 2022: Launching networkcards v.20200518
Tue Nov 29 20:39:57 2022: Launching networklist v.20200518
Tue Nov 29 20:39:57 2022: Launching outlook_homepage v.20201002
Tue Nov 29 20:39:57 2022: Launching portdev v.20090118
Tue Nov 29 20:39:57 2022: Launching powershellcore v.20200525
Tue Nov 29 20:39:57 2022: Launching printdemon v.20200514
Tue Nov 29 20:39:57 2022: Launching profilelist v.20200518
Tue Nov 29 20:39:57 2022: Launching pslogging v.20200515
Tue Nov 29 20:39:57 2022: Launching psscript v.20200525
Tue Nov 29 20:39:57 2022: Launching run v.20200511
Tue Nov 29 20:39:58 2022: Launching runvirtual v.20200427
Tue Nov 29 20:39:58 2022: Launching ryuk_gpo v.20200427
Tue Nov 29 20:39:58 2022: Launching schedagent v.20200518
Tue Nov 29 20:39:58 2022: Launching scriptleturl v.20200525
Tue Nov 29 20:39:59 2022: Launching secctr v.20200517
Tue Nov 29 20:39:59 2022: Launching sfc v.20200517
Tue Nov 29 20:39:59 2022: Launching shelloverlay v.20100308
Tue Nov 29 20:39:59 2022: Launching spp_clients v.20130429
Tue Nov 29 20:39:59 2022: Launching ssid v.20200515
Tue Nov 29 20:39:59 2022: Launching susclient v.20200518
Tue Nov 29 20:39:59 2022: Launching systemindex v.20200518
Tue Nov 29 20:39:59 2022: Launching taskcache v.20200427
Tue Nov 29 20:40:00 2022: Launching tasks v.20200427
Tue Nov 29 20:40:00 2022: Launching termserv v.20200506
Tue Nov 29 20:40:00 2022: Launching uac v.20200427
Tue Nov 29 20:40:00 2022: Launching uacbypass v.20200511
Tue Nov 29 20:40:02 2022: Launching uninstall v.20200525
Tue Nov 29 20:40:02 2022: Launching wab v.20200427
Tue Nov 29 20:40:02 2022: Launching wbem v.20200511
Tue Nov 29 20:40:02 2022: Launching winver v.20200525
