SourceFile,SourceCreated,SourceModified,SourceAccessed,AppId,AppIdDescription,DestListVersion,LastUsedEntryNumber,MRU,EntryNumber,CreationTime,LastModified,Hostname,MacAddress,Path,InteractionCount,PinStatus,FileBirthDroid,FileDroid,VolumeBirthDroid,VolumeDroid,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,CommonPath,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,TrackerCreatedOn,ExtraBlocksPresent,Arguments,Notes
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_4\Lab_3\CaseFolder\Recent\AutomaticDestinations\f18460fded109990.automaticDestinations-ms,2019-01-20 21:09:55,2019-01-20 21:09:55,2022-10-07 05:06:43,f18460fded109990,Windows Connected Devices,4,1,0,1,,2019-01-20 21:09:55,,,ms-settings:network,1,False,,,,,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",(None),,,,,Internet Explorer (Homepage)\ms-settings:network,,,,,,PropertyStoreDataBlock,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_4\Lab_3\CaseFolder\Recent\AutomaticDestinations\83dd64e7fa560bd5.automaticDestinations-ms,2019-01-21 05:05:04,2019-01-21 19:16:10,2022-10-07 05:06:43,83dd64e7fa560bd5,LibreOffice 5.1.0.3 Calc,4,2,0,2,2019-01-20 21:12:02,2019-01-21 19:16:10,avengers01,34:68:95:94:f8:5c,C:\Users\srogers\Documents\USB Backup\Personal\Random Accounting Spreadsheet.xlsx,1,False,081b933b-1cf8-11e9-abc8-34689594f85c,081b933b-1cf8-11e9-abc8-34689594f85c,e95f98a4-5003-4af7-af19-1e01307a1dad,e95f98a4-5003-4af7-af19-1e01307a1dad,2019-01-21 05:06:54,2019-01-21 03:50:58,2019-01-21 05:06:54,10144,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),EA174897,,C:\Users\srogers\Documents\USB Backup\Personal\Random Accounting Spreadsheet.xlsx,,My Computer\C:\\\\\\,0x1792E,0x6,avengers01,34:68:95:94:f8:5c,2019-01-20 21:12:02,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_4\Lab_3\CaseFolder\Recent\AutomaticDestinations\83dd64e7fa560bd5.automaticDestinations-ms,2019-01-21 05:05:04,2019-01-21 19:16:10,2022-10-07 05:06:43,83dd64e7fa560bd5,LibreOffice 5.1.0.3 Calc,4,2,1,1,,2019-01-21 05:06:18,,,E:\Shield Documents\Confidential Alloy Expense Accounts.xlsx,2,False,,,,,2019-01-21 04:59:17,2019-01-21 04:11:14,2019-01-21 04:59:16,10147,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink","Removable storage media (Floppy, USB)",6A018124,Shield_USB,E:\Shield Documents\Confidential Alloy Expense Accounts.xlsx,,My Computer\E:\\,0xE0000,,,,,PropertyStoreDataBlock,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_4\Lab_3\CaseFolder\Recent\AutomaticDestinations\9d1f905ce5044aee.automaticDestinations-ms,2019-01-19 03:13:02,2019-01-21 19:14:41,2022-10-07 05:06:43,9d1f905ce5044aee,Edge Browser,4,3,0,3,2019-01-20 21:12:02,2019-01-21 19:14:41,avengers01,34:68:95:94:f8:5c,C:\Users\srogers\Documents\USB Backup\Chapter 4.pdf,1,False,081b9308-1cf8-11e9-abc8-34689594f85c,081b9308-1cf8-11e9-abc8-34689594f85c,e95f98a4-5003-4af7-af19-1e01307a1dad,e95f98a4-5003-4af7-af19-1e01307a1dad,2019-01-21 05:06:54,2019-01-21 04:55:58,2019-01-21 05:06:54,1008692,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),EA174897,,C:\Users\srogers\Documents\USB Backup\Chapter 4.pdf,,My Computer\C:\\\\\,0x17939,0x3,avengers01,34:68:95:94:f8:5c,2019-01-20 21:12:02,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_4\Lab_3\CaseFolder\Recent\AutomaticDestinations\9d1f905ce5044aee.automaticDestinations-ms,2019-01-19 03:13:02,2019-01-21 19:14:41,2022-10-07 05:06:43,9d1f905ce5044aee,Edge Browser,4,3,1,2,,2019-01-21 05:04:46,,,E:\Chapter 4.pdf,1,False,,,,,2019-01-21 04:59:58,2019-01-21 04:55:58,2019-01-21 04:59:58,1008692,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink","Removable storage media (Floppy, USB)",6A018124,Shield_USB,E:\Chapter 4.pdf,,E:\\,0xA03C0,,,,,PropertyStoreDataBlock,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_4\Lab_3\CaseFolder\Recent\AutomaticDestinations\9d1f905ce5044aee.automaticDestinations-ms,2019-01-19 03:13:02,2019-01-21 19:14:41,2022-10-07 05:06:43,9d1f905ce5044aee,Edge Browser,4,3,2,1,,2019-01-19 03:13:02,,,microsoft-edge:https://www.msn.com/spartan/dhpwinfre?country=us&locale=en-us&imgh=170&imgw=300&bcnt=3&templatetype=1.1&placement=353689&useIris=1&tcContentId=0f6c6d70c6f84ed3b4e74e43e887b262&tcContentPath=//item[0]&asid=0f6c6d70c6f84ed3b4e74e43e887b262&poptin=&oemname=VMWARE%2C%20INC.&oemid=VMWARE%2C%20INC.&devfam=WINDOWS.DESKTOP&devosver=10.0.16299.125&ossku=PROFESSIONAL&arch=X64&cdmver=10.0.16299.15&fosver=&prevosver=&isu=0&tl=2&msa=&disphorzres=1024&dispvertres=768&nettype=ETHERNET&metered=FALSE&moid=&topt=&localid=w:EE39BC6F-A9F4-1BA8-9587-D73650BF7004&auid=&lo=0&tsu=0&flsid=&osbuild=&waasring=&sc-sigimg=&OCID=ems.display.welcomeexperience&CCID=672FDB9C16F04C3CB72629842093CC9E,1,False,,,,,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",(None),,,,,Internet Explorer (Homepage)\microsoft-edge:https://www.msn.com/spartan/dhpwinfre?country=us&locale=en-us&imgh=170&imgw=300&bcnt=3&templatetype=1.1&placement=353689&useIris=1&tcContentId=0f6c6d70c6f84ed3b4e74e43e887b262&tcContentPath=//item[0]&asid=0f6c6d70c6f84ed3b4e74e43e887b262&poptin=&oemname=VMWARE%2C%20INC.&oemid=VMWARE%2C%20INC.&devfam=WINDOWS.DESKTOP&devosver=10.0.16299.125&ossku=PROFESSIONAL&arch=X64&cdmver=10.0.16299.15&fosver=&prevosver=&isu=0&tl=2&msa=&disphorzres=1024&dispvertres=768&nettype=ETHERNET&metered=FALSE&moid=&topt=&localid=w:EE39BC6F-A9F4-1BA8-9587-D73650BF7004&auid=&lo=0&tsu=0&flsid=&osbuild=&waasring=&sc-sigimg=&OCID=ems.display.welcomeexperience&CCID=672FDB9C16F04C3CB72629842093CC9E,,,,,,PropertyStoreDataBlock,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_4\Lab_3\CaseFolder\Recent\AutomaticDestinations\d38a3ea7ec79fbed.automaticDestinations-ms,2019-01-21 05:06:24,2019-01-21 05:06:31,2022-10-07 05:06:43,d38a3ea7ec79fbed,LibreOffice 5.1.0.3 Writer,4,1,0,1,,2019-01-21 05:06:24,,,E:\Personal\S. Rogers Resume.docx,1,False,,,,,2019-01-21 04:59:17,2019-01-21 03:58:34,2019-01-21 04:59:16,17597,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink","Removable storage media (Floppy, USB)",6A018124,Shield_USB,E:\Personal\S. Rogers Resume.docx,,My Computer\E:\\,0xC0120,,,,,PropertyStoreDataBlock,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_4\Lab_3\CaseFolder\Recent\AutomaticDestinations\ecd1a5e2c3af9c46.automaticDestinations-ms,2019-01-21 05:00:45,2019-01-21 19:15:47,2022-10-07 05:06:43,ecd1a5e2c3af9c46,LibreOffice 5.1.0.3 Press,4,4,0,4,2019-01-20 21:12:02,2019-01-21 19:15:47,avengers01,34:68:95:94:f8:5c,C:\Users\srogers\Documents\USB Backup\Selection_of_materials.ppt,1,False,081b932d-1cf8-11e9-abc8-34689594f85c,081b932d-1cf8-11e9-abc8-34689594f85c,e95f98a4-5003-4af7-af19-1e01307a1dad,e95f98a4-5003-4af7-af19-1e01307a1dad,2019-01-21 05:06:54,2019-01-21 04:58:06,2019-01-21 05:06:54,4237312,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),EA174897,,C:\Users\srogers\Documents\USB Backup\Selection_of_materials.ppt,,My Computer\C:\\\\\,0x17A05,0x6,avengers01,34:68:95:94:f8:5c,2019-01-20 21:12:02,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_4\Lab_3\CaseFolder\Recent\AutomaticDestinations\ecd1a5e2c3af9c46.automaticDestinations-ms,2019-01-21 05:00:45,2019-01-21 19:15:47,2022-10-07 05:06:43,ecd1a5e2c3af9c46,LibreOffice 5.1.0.3 Press,4,4,1,3,2019-01-20 21:12:02,2019-01-21 05:07:41,avengers01,34:68:95:94:f8:5c,C:\Users\srogers\Documents\USB Backup\Shield Documents\Presentation with Sensitive IP.pptx,2,False,081b8cfc-1cf8-11e9-abc8-34689594f85c,081b8cfc-1cf8-11e9-abc8-34689594f85c,e95f98a4-5003-4af7-af19-1e01307a1dad,e95f98a4-5003-4af7-af19-1e01307a1dad,2019-01-21 05:06:54,2019-01-21 03:48:38,2019-01-21 05:06:54,31590,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),EA174897,,C:\Users\srogers\Documents\USB Backup\Shield Documents\Presentation with Sensitive IP.pptx,,My Computer\C:\\\\\\,0x17936,0x3,avengers01,34:68:95:94:f8:5c,2019-01-20 21:12:02,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_4\Lab_3\CaseFolder\Recent\AutomaticDestinations\ecd1a5e2c3af9c46.automaticDestinations-ms,2019-01-21 05:00:45,2019-01-21 19:15:47,2022-10-07 05:06:43,ecd1a5e2c3af9c46,LibreOffice 5.1.0.3 Press,4,4,2,2,2019-01-20 21:12:02,2019-01-21 05:04:43,avengers01,34:68:95:94:f8:5c,C:\Users\srogers\Desktop\Alloys.pptx,1,False,081b8cb5-1cf8-11e9-abc8-34689594f85c,081b8cb5-1cf8-11e9-abc8-34689594f85c,e95f98a4-5003-4af7-af19-1e01307a1dad,e95f98a4-5003-4af7-af19-1e01307a1dad,2019-01-21 05:04:38,2019-01-21 05:04:42,2019-01-21 05:04:41,697230,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),EA174897,,C:\Users\srogers\Desktop\Alloys.pptx,,My Computer\C:\\\\,0x1727B,0x7,avengers01,34:68:95:94:f8:5c,2019-01-20 21:12:02,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
