SourceFile,SourceCreated,SourceModified,SourceAccessed,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,NetworkPath,CommonPath,Arguments,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,MACVendor,TrackerCreatedOn,ExtraBlocksPresent
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_4\Lab_3\CaseFolder\Recent\Recent\Presentation with Sensitive IP.lnk,2019-01-21 05:07:00,2019-01-21 05:07:00,2022-10-07 05:06:43,2019-01-21 05:06:54,2019-01-21 03:48:38,2019-01-21 05:06:54,31590,..\..\..\..\..\Documents\USB Backup\Shield Documents\Presentation with Sensitive IP.pptx,C:\Users\srogers\Documents\USB Backup\Shield Documents,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),EA174897,,C:\Users\srogers\Documents\USB Backup\Shield Documents\Presentation with Sensitive IP.pptx,,,,My Computer\Documents\\\,0x17936,0x3,avengers01,34:68:95:94:f8:5c,HON HAI PRECISION,2019-01-20 21:12:02,"TrackerDataBaseBlock, PropertyStoreDataBlock"
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_4\Lab_3\CaseFolder\Recent\Recent\The Internet.lnk,2019-01-19 03:13:02,2019-01-20 21:09:55,2022-10-07 05:06:43,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking",(None),,,,,,,Internet Explorer (Homepage),,,,,,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_4\Lab_3\CaseFolder\Recent\Recent\Alloys (2).lnk,2019-01-21 05:04:43,2019-01-21 05:04:43,2022-10-07 05:06:43,2019-01-21 05:04:38,2019-01-21 05:04:42,2019-01-21 05:04:41,697230,..\..\..\..\..\Desktop\Alloys.pptx,C:\Users\srogers\Desktop,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),EA174897,,C:\Users\srogers\Desktop\Alloys.pptx,,,,My Computer\Desktop\,0x1727B,0x7,avengers01,34:68:95:94:f8:5c,HON HAI PRECISION,2019-01-20 21:12:02,"TrackerDataBaseBlock, PropertyStoreDataBlock"
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_4\Lab_3\CaseFolder\Recent\Recent\Alloys.lnk,2019-01-21 05:00:45,2019-01-21 05:04:07,2022-10-07 05:06:43,2019-01-21 04:59:57,2019-01-21 04:56:56,2019-01-21 04:59:56,946688,,E:\,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasWorkingDir, IsUnicode, DisableKnownFolderTracking","Removable storage media (Floppy, USB)",6A018124,Shield_USB,E:\Alloys.ppt,,,,E:\\,0x0,,,,,,
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_4\Lab_3\CaseFolder\Recent\Recent\Documents.lnk,2019-01-21 05:06:50,2019-01-21 05:06:50,2022-10-07 05:06:43,2019-01-19 03:11:57,2019-01-21 05:06:50,2019-01-21 05:06:50,4096,..\..\..\..\..\Documents,,"FileAttributeReadonly, FileAttributeDirectory","HasTargetIdList, HasLinkInfo, HasRelativePath, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),EA174897,,C:\Users\srogers\Documents,,,,My Computer\Documents,,,avengers01,34:68:95:94:f8:5c,HON HAI PRECISION,2019-01-19 06:06:35,"TrackerDataBaseBlock, PropertyStoreDataBlock"
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_4\Lab_3\CaseFolder\Recent\Recent\Random Accounting Spreadsheet.lnk,2019-01-21 19:16:10,2019-01-21 19:16:10,2022-10-07 05:06:43,2019-01-21 05:06:54,2019-01-21 03:50:58,2019-01-21 05:06:54,10144,..\..\..\..\..\Documents\USB Backup\Personal\Random Accounting Spreadsheet.xlsx,C:\Users\srogers\Documents\USB Backup\Personal,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),EA174897,,C:\Users\srogers\Documents\USB Backup\Personal\Random Accounting Spreadsheet.xlsx,,,,My Computer\Documents\\\,0x1792E,0x6,avengers01,34:68:95:94:f8:5c,HON HAI PRECISION,2019-01-20 21:12:02,"TrackerDataBaseBlock, PropertyStoreDataBlock"
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_4\Lab_3\CaseFolder\Recent\Recent\USB Backup.lnk,2019-01-21 05:06:50,2019-01-21 19:15:47,2022-10-07 05:06:43,2019-01-21 05:06:45,2019-01-21 05:21:26,2019-01-21 05:21:26,4096,..\..\..\..\..\Documents\USB Backup,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, HasRelativePath, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),EA174897,,C:\Users\srogers\Documents\USB Backup,,,,My Computer\Documents\,0x1777D,0x4,avengers01,34:68:95:94:f8:5c,HON HAI PRECISION,2019-01-20 21:12:02,"TrackerDataBaseBlock, PropertyStoreDataBlock"
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_4\Lab_3\CaseFolder\Recent\Recent\Selection_of_materials.lnk,2019-01-21 19:15:47,2019-01-21 19:15:47,2022-10-07 05:06:43,2019-01-21 05:06:54,2019-01-21 04:58:06,2019-01-21 05:06:54,4237312,..\..\..\..\..\Documents\USB Backup\Selection_of_materials.ppt,C:\Users\srogers\Documents\USB Backup,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),EA174897,,C:\Users\srogers\Documents\USB Backup\Selection_of_materials.ppt,,,,My Computer\Documents\\,0x17A05,0x6,avengers01,34:68:95:94:f8:5c,HON HAI PRECISION,2019-01-20 21:12:02,"TrackerDataBaseBlock, PropertyStoreDataBlock"
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_4\Lab_3\CaseFolder\Recent\Recent\Shield Documents.lnk,2019-01-21 05:05:04,2019-01-21 05:07:00,2022-10-07 05:06:43,2019-01-21 05:06:54,2019-01-21 05:06:54,2019-01-21 05:06:54,4096,..\..\..\..\..\Documents\USB Backup\Shield Documents,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, HasRelativePath, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),EA174897,,C:\Users\srogers\Documents\USB Backup\Shield Documents,,,,My Computer\Documents\\,0x17932,0x4,avengers01,34:68:95:94:f8:5c,HON HAI PRECISION,2019-01-20 21:12:02,"TrackerDataBaseBlock, PropertyStoreDataBlock"
\\Mac\Home\Documents\_Education\Northeastern\PhD_Cybersecurity\CY5210_Information_System_Forensics\Module_4\Lab_3\CaseFolder\Recent\Recent\Cap-1.lnk,2019-01-21 05:22:40,2019-01-21 05:22:40,2022-10-07 05:06:43,2019-01-21 05:22:40,2019-01-21 05:22:40,2019-01-21 05:22:40,0,..\..\..\..\..\Documents\Cap-1.jpg,C:\Users\srogers\Documents,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),EA174897,,C:\Users\srogers\Documents\Cap-1.jpg,,,,My Computer\Documents\,0x0,,avengers01,34:68:95:94:f8:5c,HON HAI PRECISION,2019-01-20 21:12:02,"TrackerDataBaseBlock, PropertyStoreDataBlock"
